CIM10;;"SFMU
SFMU";REGROUPEMENTS CIM10 FEDORU;;
K601;Fissure anale chronique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K602;Fissure anale, sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K603;Fistule anale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K604;Fistule rectale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K605;Fistule ano-rectale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K61;Abcès des régions anale et rectale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K610;Abcès anal;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K611;Abcès rectal;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K612;Abcès ano-rectal;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K613;Abcès ischio-rectal;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K614;Abcès intrasphinctérien;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K62;Autres maladies de l'anus et du rectum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K620;Polype anal;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K621;Polype rectal;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K622;Prolapsus anal;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K623;Prolapsus rectal;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K624;Sténose de l'anus et du rectum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K625;Hémorragie de l'anus et du rectum;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K626;Ulcère de l'anus et du rectum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K627;Rectite due à un irradiation;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K628;Autres maladies précisées de l'anus et du rectum;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K629;Maladie de l'anus et du rectum, sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K63;Autres maladies de l'intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K630;Abcès de l'intestin;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K631;Perforation de l'intestin (non traumatique);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K632;Fistule de l'intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K633;Ulcère de l'intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K634;Entéroptose;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K635;Polype du côlon;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K635+0;Polypose (colique) hyperplasique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K635+8;Polype du côlon, autre et non précisé;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K638;Autres maladies précisées de l'intestin;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K639;Maladie de l'intestin, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
K64;Hémorroïdes et thrombose veineuse périanale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K640;Hémorroïdes du premier degré;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K641;Hémorroïdes du deuxième degré;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K642;Hémorroïdes du troisième degré;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K643;Hémorroïdes du quatrième degré;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K644;Cicatrices hémorroïdaires cutanées résiduelles;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K645;Thrombose veineuse périanale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K648;Autres hémorroïdes précisées;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K649;Hémorroïdes, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Proctologie
K65;Péritonite;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K650;Péritonite aiguë;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K658;Autres péritonites;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K659;Péritonite, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K66;Autres maladies du péritoine;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K660;Adhérences péritonéales;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K661;Hémopéritoine;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K668;Autres maladies précisées du péritoine;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K669;Maladie du péritoine, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K67;Atteintes péritonéales au cours de maladies infectieuses classées ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K670;Péritonite à Chlamydia (A74.8);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K671;Péritonite gonococcique (A54.8);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K672;Péritonite syphilitique (A52.7);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K673;Péritonite tuberculeuse (A18.3);non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K678;Autres atteintes péritonéales au cours de maladies infectieuses classées ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Péritonite toute origine
K70;Maladie alcoolique du foie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K700;Cirrhose alcoolique graisseuse du foie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K701;Hépatite alcoolique;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K702;Fibrose et sclérose alcoolique du foie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K703;Cirrhose alcoolique (du foie);OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K704;Insuffisance hépatique alcoolique;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K709;Maladie alcoolique du foie, sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K71;Maladie toxique du foie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K710;Maladie toxique du foie avec cholestase;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K711;Maladie toxique du foie avec nécrose hépatique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K712;Maladie toxique du foie avec hépatite aiguë;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K713;Maladie toxique du foie avec hépatite chronique persistante;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K714;Maladie toxique du foie avec hépatite chronique lobulaire;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K715;Maladie toxique du foie avec hépatite chronique active;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K716;Maladie toxique du foie avec hépatite, non classée ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K717;Maladie toxique du foie avec fibrose et cirrhose du foie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K718;Maladie toxique du foie avec d'autres lésions du foie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K719;Maladie toxique du foie, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K72;Insuffisance hépatique, non classée ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K720;Insuffisance hépatique aiguë et subaiguë;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K721;Insuffisance hépatique chronique;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K729;Insuffisance hépatique, sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K73;Hépatite chronique, non classée ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K730;Hépatite chronique persistante, non classée ailleurs;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K731;Hépatite chronique lobulaire, non classée ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K732;Hépatite chronique active, non classée ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K738;Autres hépatites chroniques, non classées ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K739;Hépatite chronique, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K74;Fibrose et cirrhose du foie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K740;Fibrose hépatique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K741;Sclérose hépatique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K742;Fibrose hépatique, avec sclérose hépatique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K743;Cirrhose biliaire primitive;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K744;Cirrhose biliaire secondaire;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K745;Cirrhose biliaire, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K746;Cirrhoses (du foie), autres et sans précision;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K75;Autres maladies inflammatoires du foie;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K750;Abcès du foie;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K751;Phlébite de la veine porte;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K752;Hépatite réactive non spécifique;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
K753;Hépatite granulomateuse, non classée ailleurs;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Ascite, ictère et hépatopathie
